"id","name","status","funded_amount","activity","sector","use","partner_id","posted_date","planned_expiration_date","loan_amount","borrower_count","lender_count","bonus_credit_eligibility","tags","themes","currency_exchange_loss_amount","description.languages","image.id","image.template_id","location.country_code","location.country","location.town","location.geo.level","location.geo.pairs","location.geo.type"
1030869,"Khadija","funded",300,"Fruits & Vegetables","Food","to purchase sacks of coconuts for resale.",164,"2016-03-05T08:00:04Z","2016-04-04T08:00:04Z",300,1,9,TRUE,"#Woman Owned Biz, #Vegan, #Parent",NA,NA,"en",2114169,1,"KE","Kenya","Msambweni","town","1 38","point"
1030870,"Patience","funded",500,"Sewing","Services","to expand her sewing business.",305,"2016-03-05T08:00:04Z","2016-04-04T08:00:04Z",500,1,10,FALSE,"user_favorite, #Fabrics","Underfunded Areas, Rural Exclusion",NA,"en",2114171,1,"ZW","Zimbabwe","wedza","town","-19 29","point"
1030864,"Samuel","funded",300,"Carpentry","Construction","to purchase more timber and glue for joining chairs and tables to be sold, which will earn him more income.",133,"2016-03-05T08:00:03Z","2016-04-04T08:00:03Z",300,1,8,FALSE,"#Parent",NA,NA,"en",2114080,1,"KE","Kenya","Kisumu","town","-0.1 34.75","point"
1030767,"Mirvat","funded",1500,"Beauty Salon","Services","to buy needed beauty salon tools and machines to open her beauty salon and increase her provided services.",77,"2016-03-05T08:00:02Z","2016-04-04T08:00:02Z",1500,1,28,TRUE,"#Parent, #Biz Durable Asset",NA,NA,"en",2114071,1,"LB","Lebanon","Tyre","town","33.833333 35.833333","point"
1030858,"Thao","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:50:04Z","2016-04-04T07:50:04Z",475,1,14,FALSE,"user_favorite, #Elderly, #Health and Sanitation","Water and Sanitation",NA,"en",2114156,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030865,"De","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:50:04Z","2016-04-04T07:50:04Z",475,1,12,FALSE,"user_favorite, #Elderly, #Health and Sanitation","Water and Sanitation",NA,"es, en",2114163,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030756,"Janeth","funded",500,"Cereals","Food","to buy cereals.",156,"2016-03-05T07:50:03Z","2016-04-04T07:50:03Z",500,1,20,FALSE,"#Woman Owned Biz","Rural Exclusion",NA,"es, en",2114055,1,"KE","Kenya","Bomet","town","1 38","point"
1030757,"Mary","funded",200,"Farming","Agriculture","to start horticulture farming.",156,"2016-03-05T07:50:03Z","2016-04-04T07:50:03Z",200,1,5,FALSE,NA,"Rural Exclusion",NA,"en",2114057,1,"KE","Kenya","Nandi Hills","town","1 38","point"
1030768,"Jancinta","funded",200,"Poultry","Agriculture","to buy poultry feeds and add more layers to boost her eggs supply hence more income.",388,"2016-03-05T07:50:03Z","2016-04-04T07:50:03Z",200,1,8,FALSE,"#Animals, #Parent, #Repeat Borrower",NA,NA,"en",2113984,1,"KE","Kenya","Limuru","town","1 38","point"
1030853,"Clarah","funded",225,"Primary/secondary school costs","Education","To pay tution fees.",156,"2016-03-05T07:50:03Z","2016-04-04T07:50:03Z",225,1,8,FALSE,"#Parent, #Schooling, #Supporting Family","Rural Exclusion",NA,"en",2114150,1,"KE","Kenya","Kapsowar","town","1 38","point"
1030859,"Thuy","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:40:04Z","2016-04-04T07:40:03Z",475,1,13,FALSE,"user_favorite, #Elderly, #Health and Sanitation","Water and Sanitation",NA,"en",2114157,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030862,"Duong","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:40:04Z","2016-04-04T07:40:04Z",475,1,12,FALSE,"user_favorite, #Elderly, #Health and Sanitation","Water and Sanitation",NA,"en",2114161,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030765,"Edwin","funded",100,"Pigs","Agriculture","to buy pig feeds and add more piglets, to boost his supply of pork hence additional income.",388,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",100,1,4,FALSE,"#Elderly",NA,NA,"en",2114035,1,"KE","Kenya","Nakuru East","town","1 38","point"
1030838,"Tsogololathu Group","funded",1225,"Grocery Store","Food","to order more groceries such as sugar, salt, and soft drinks.",381,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",1225,12,38,FALSE,"user_favorite, #Woman Owned Biz, #Parent","Start-Up",NA,"en",2113926,1,"MW","Malawi","Blantyre","town","-13.5 34","point"
1030841,"Monica","funded",500,"Home Products Sales","Retail","to expand her business selling aluminum pots.",305,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",500,1,11,FALSE,"user_favorite","Underfunded Areas, Rural Exclusion",NA,"es, en",2114137,1,"ZW","Zimbabwe","wedza","town","-19 29","point"
1030848,"Thanh","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",475,1,11,FALSE,"user_favorite, #Parent, #Health and Sanitation","Water and Sanitation",NA,"en",2114144,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030851,"Ha","funded",475,"Personal Housing Expenses","Housing","to build a latrine to improve the health of her family.",394,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",475,1,14,FALSE,"user_favorite, #Parent, #Health and Sanitation","Water and Sanitation",NA,"en",2114147,1,"VN","Vietnam","Quang Trach, Quang Binh","town","16.166667 107.833333","point"
1030861,"Patience","funded",500,"Construction","Construction","to build her own shop.",305,"2016-03-05T07:40:03Z","2016-04-04T07:40:03Z",500,1,12,FALSE,"user_favorite","Underfunded Areas, Rural Exclusion",NA,"en",2114160,1,"ZW","Zimbabwe","wedza","town","-19 29","point"
1030850,"October Group","funded",1000,"Retail","Retail","to pay for additional drinks and cigarettes.",148,"2016-03-05T07:40:02Z","2016-04-04T07:40:02Z",1000,4,28,FALSE,"user_favorite, #Parent, #Schooling",NA,77.45,"en",2114143,1,"SL","Sierra Leone","Freetown East","town","8.5 -11.5","point"
1090874,"Shanti","funded",5000,"Entertainment","Entertainment","pay processing fees for permits, purchase new equipment, create promotional materials and physical copies of our album releases.",NA,"2016-03-05T07:32:36Z","2016-04-25T03:45:01Z",5000,1,67,FALSE,NA,NA,NA,"es, en",2209459,1,"PR","Puerto Rico",NA,"country","18.444112 -66.065618","point"
